state,0,1,2,3,4,5,6
xx  o oo  x  ,0.0,0.0,-1.2,0.0,-1.02,0.0,-1.2
xx  o oo  x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x x  o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   o  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x o  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  xo o  x  ,0.0,-0.6,0.0,0.0,0.0,0.0,0.0
 x xo o  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo xo xoo oo  x  ,0.0,0.0,0.0,-5.4,0.0,0.0,0.0
xxxo xo xoo oox  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  x oo    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   oo  x  ,0.0,-1.02,0.0,0.0,0.0,0.0,0.0
xx   oo  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  o oo x x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  oo oo x x  ,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
xx  oo oo x x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  o oo  x  ,0.0,-1.2,0.0,0.0,-1.7999999999999998,0.0,-2.4
xxxo  o oo x x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x x  oo    ,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
x x  oo   x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx   oo    ,2.955,0.0,0.0,1.3978499999999998,0.0,0.79785,0.0
   o x  x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo  o oo  x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo o o oo  x x ,0.0,0.0,0.0,-2.1,0.0,0.0,0.0
xxxo o o oox  x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o o oo  x  ,-3.3,-2.1,0.0,0.0,0.0,-2.7,-3.3
xxxoxx o o oo  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxo xoo      ,0.0,0.0,0.0,0.0,-0.6,0.0,0.0
xxo xoo   x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxo xoo o  x   ,0.0,0.0,-2.1,0.0,0.0,0.0,0.0
xxo xoo ox  x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxo xooo ox  x   ,0.0,0.0,0.0,-3.6,0.0,0.0,0.0
xxo xooo ox x x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o o oo  x x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo x o oo  x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
